Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
PN32,24,PN3_2,Urocyon cinereoargenteus,PN32_24,2022-02-04 05:36:59,2022-02-04,05:36:59,350067,5834,97.2,4.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/73,73aae97b-9793-4436-93fc-bdfa90e80a14.jpg
PN32,24,PN3_2,Eira barbara,PN32_24,2022-02-04 07:13:00,2022-02-04,07:13:00,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/ff,ff4a196f-50fc-4c1e-902b-341c96512759.jpg
JS3,30,JS_3,Bassariscus sumichrasti,JS3_30,2022-02-04 18:20:49,2022-02-04,18:20:49,167461,2791,46.5,1.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/67,670ed10c-7586-4b3b-bd79-1d545d959e62.jpg
PN22,25,PN2_2,Ortalis vetula,PN22_25,2022-02-05 07:36:43,2022-02-05,07:36:43,344331,5738,95.6,4.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/89,8969f0bb-c5dc-4ff9-8438-6b745badba24.jpg
PN32,24,PN3_2,Odocoileus virginianus,PN32_24,2022-02-06 20:52:20,2022-02-06,20:52:20,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/d5,d5aa6319-423d-4ed0-8dad-d030e3f80e38.jpg
PN32,24,PN3_2,Urocyon cinereoargenteus,PN32_24,2022-02-06 21:56:24,2022-02-06,21:56:24,231565,3859,64.3,2.7,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/95,95b47ecb-c120-4cbb-ab55-5168c009b50d.jpg
JS1,28,JS_1,ave generico,JS1_28,2022-02-07 11:19:49,2022-02-07,11:19:49,1271736,21195,353.3,14.7,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/f6,f6aeb8f5-98ad-48f3-8599-033c705447ce.jpg
JS2,29,JS_2,Tapirus bairdii,JS2_29,2022-02-07 20:09:16,2022-02-07,20:09:16,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/19,19e4718c-b8fc-46f9-afa8-984be712a90c.jpg
PN22,25,PN2_2,Dasypus novemcinctus,PN22_25,2022-02-08 03:39:14,2022-02-08,03:39:14,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/2e,2ec2366d-3481-4c33-968b-e25f21d56b02.jpg
PN22,25,PN2_2,Mazama temama,PN22_25,2022-02-08 21:15:11,2022-02-08,21:15:11,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/4e,4ebe0dfd-50a1-40ea-af26-c77ca5a81fab.jpg
JS1,28,JS_1,Puma concolor,JS1_28,2022-02-09 12:36:03,2022-02-09,12:36:03,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/1b,1b705755-3c73-4b6e-8190-f4b6e6f2595f.jpg
JS3,30,JS_3,Puma concolor,JS3_30,2022-02-09 15:04:07,2022-02-09,15:04:07,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/cb,cbe87ddf-cd60-4bcd-824f-ee010b5b7c51.jpg
JS1,28,JS_1,Eira barbara,JS1_28,2022-02-09 15:48:05,2022-02-09,15:48:05,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/75,755c5413-b1e9-41f8-9d0e-e1075a4ed76b.jpg
JS1,28,JS_1,Leopardus pardalis,JS1_28,2022-02-09 21:53:37,2022-02-09,21:53:37,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/fc,fc616467-33b8-4633-9c1c-45c5fbc9f254.jpg
PN32,24,PN3_2,Didelphis marsupialis,PN32_24,2022-02-09 22:06:15,2022-02-09,22:06:15,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/13,1309776a-2770-4d0a-b759-14ad742ef98e.jpg
JS1,28,JS_1,Leopardus pardalis,JS1_28,2022-02-10 04:08:07,2022-02-10,04:08:07,22470,374,6.2,0.3,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/5a,5ae5009e-0f4a-4a04-b5bc-9f465b8043f6.jpg
JS1,28,JS_1,Sciurus sp,JS1_28,2022-02-10 07:55:20,2022-02-10,07:55:20,584143,9735,162.3,6.8,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/1e,1e336583-4603-4dd5-ad66-285a7c7385d0.jpg
JS1,28,JS_1,Eira barbara,JS1_28,2022-02-10 15:57:45,2022-02-10,15:57:45,86980,1449,24.2,1.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/8f,8f59ea38-f6e9-4d4f-8faf-0d28bb6867b0.jpg
JS1,28,JS_1,Pecari tajacu,JS1_28,2022-02-10 19:01:23,2022-02-10,19:01:23,1940676,32344,539.1,22.5,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/70,7070ae6e-c9f0-4603-ab4f-14f241064111.jpg
